9 de Espadas,@9deespadas,Música,Artista,Compositores,Formato,Ano,Origem,Gênero,Gênero Relacionado,Idioma,Classifi.,Andan.,Data Cadastro,Participações,Nome do Arquivo
DESCULPA,@desculpabanda,,,,,,,,,,,,,,
Di Fulô,@forrodifulo,,,,,,,,,,,,,,
Diego O Capa,@c_a.p_a,,,,,,,,,,,,,,
Diego Stecanela,@diegostecanela,,,,,,,,,,,,,,
Diogo Nestor,@diogonestor,,,,,,,,,,,,,,
Diogo Valente,@musicavalentediogo,,,,,,,,,,,,,,
Dirty Grills,@dirty.grills,,,,,,,,,,,,,,
Distopeia,@projetodistopeia,,,,,,,,,,,,,,
Divagante ManéKa,@divagante.maneka,,,,,,,,,,,,,,
Donateira,@donateira,,,,,,,,,,,,,,
Douglas Codonho,@douglascodonho,,,,,,,,,,,,,,
Du Cosmos,@du_cosmos,,,,,,,,,,,,,,
Du de Canário,@dudecanariooficial,,,,,,,,,,,,,,
Dudu Fileti,@dudufileti,,,,,,,,,,,,,,
Dudu Kadência,@dudukadencia,,,,,,,,,,,,,,
Duo Multueira,@duo_multueira,,,,,,,,,,,,,,
Ed Júnior,@dr.edjunior,,,,,,,,,,,,,,
Edson Penha,@edsonpenhaj,,,,,,,,,,,,,,
Eduardo Stormowski,@eduardostormowski,,,,,,,,,,,,,,
Ela Manô,Não tem,,,,,,,,,,,,,,
Elô Gonzaga,@elogonzagaoficial,,,,,,,,,,,,,,
Em Dó,@banda.em.do,,,,,,,,,,,,,,
Emilly Machado,@emilly.emachado,,,,,,,,,,,,,,
End Of Pipe,@endofpipe,,,,,,,,,,,,,,
Enéias Raasch,@eneiasraasch,,,,,,,,,,,,,,
Entrevero Instrumental,@entreveroinstrumental,,,,,,,,,,,,,,
Epônima,@bandaeponima,,,,,,,,,,,,,,
Erva Rasteira,@ervarasteiraforrofloripa,,,,,,,,,,,,,,
Espírito Rasta,@espirito.rasta,,,,,,,,,,,,,,
Eva Figueiredo,@eva_figueiredo_,,,,,,,,,,,,,,
Exclusive os Cabides,@exclusiveoscabides,,,,,,,,,,,,,,
Expresso Rural,@expressoruraloficial,,,,,,,,,,,,,,
Fábio Carlesso,@fabiocarlesso,,,,,,,,,,,,,,
Fabio Della,@fabiodella,,,,,,,,,,,,,,
Fabrício Ahau,@fabricio_ahau,,,,,,,,,,,,,,
Fantástico Caramelo,@fantasticocaramelo,,,,,,,,,,,,,,
Farra do Bowie,@farradobowie,,,,,,,,,,,,,,
Fazer1Som,@fazer1som,,,,,,,,,,,,,,
Felícia,@felicialocutora,,,,,,,,,,,,,,
Felipe Coelho,@felipecoelhoviolao,,,,,,,,,,,,,,
Felipe Müller,@fiumuller,,,,,,,,,,,,,,
Felixfônica,@felixfonica,,,,,,,,,,,,,,
Fish Ventura,@fishventura,,,,,,,,,,,,,,
Flora Marginal,@floramarginal,,,,,,,,,,,,,,
Fluah,@fluahoficial,,,,,,,,,,,,,,
Forrósteiros,@forrosteiros,,,,,,,,,,,,,,
Fran Silveira,@fransilveira.oficial,,,,,,,,,,,,,,
François Muleka,@francoismuleka,,,,,,,,,,,,,,
Frente,@frentehc,,,,,,,,,,,,,,
Furnass,@furnassoficial,,,,,,,,,,,,,,
Gabi Gama,@gabigamaoficial,,,,,,,,,,,,,,
Gabriel Farias,@sougabrielfarias,,,,,,,,,,,,,,
Gabriel Vieira,@gabrielvieiraviolin,,,,,,,,,,,,,,
Gabriela Tee,@gabrielatee_,,,,,,,,,,,,,,
GALLO,@gallindoluis,,,,,,,,,,,,,,
Gandhi Martinez,@gandhi_martinez,,,,,,,,,,,,,,
Gazu,@gazuaovivo,,,,,,,,,,,,,,
Genirê-Z,@genirezoficial,,,,,,,,,,,,,,
Geraldo Vargas,@geraldovargasbnd,,,,,,,,,,,,,,
Gero Perito,@geroperito,,,,,,,,,,,,,,
Gi Guedes,@giguedesoficial,,,,,,,,,,,,,,
Gian Aver,@gian_aver,,,,,,,,,,,,,,
Gil Medeiros,@gilmedeirosbr,,,,,,,,,,,,,,
Gilson Baixinho Duarte,@gilson.duarte.baixinho,,,,,,,,,,,,,,
Glaci Pacheco,@glacipachecooficial,,,,,,,,,,,,,,
GLiP,@glip_,,,,,,,,,,,,,,
Gramal,@gramaloficial,,,,,,,,,,,,,,
Grillo e os Mosquitos,@grilloeosmosquitos,,,,,,,,,,,,,,
Grupo Gente da Terra,@gente_da_terra,,,,,,,,,,,,,,
Grupo Hoje Tem Samba,@grupohojetemsamba,,,,,,,,,,,,,,
Guaypeca,@guaypeka,,,,,,,,,,,,,,
Gugah Mendes,@gugahmendes,,,,,,,,,,,,,,
Gui Franzói,@guifranzoi,,,,,,,,,,,,,,
Gui Natel,@guinatelmusic,,,,,,,,,,,,,,
Guilherme Simon,@simon.guilherme,,,,,,,,,,,,,,
Guinha Ramires,@guinharamiresoficial,,,,,,,,,,,,,,
Gus Duarte,@gusduarte13,,,,,,,,,,,,,,
Gustavo Musa,@gustavomusaa,,,,,,,,,,,,,,
Guti,@gustavguti,,,,,,,,,,,,,,
Guto Cerqueira,@gutocerqueira_,,,,,,,,,,,,,,
Harmoníaco,@bandaharmoniaco,,,,,,,,,,,,,,
Heralu,@hera.alu,,,,,,,,,,,,,,
Hey John,@_heyjhon,,,,,,,,,,,,,,
Ian Santos,@iansantosoficial,,,,,,,,,,,,,,
Ian Veras,@ianveras,,,,,,,,,,,,,,
